,loss,mean_absolute_error,mean_absolute_percentage_error
135,81241.0859011,193.326564966,1.46030202362
136,85769.3555508,200.488363538,1.5104186037
137,86437.4297935,198.745284631,1.49546497083
138,80786.861265,189.948481024,1.43721753844
139,78922.1466738,187.873290586,1.4252183991
140,85681.6298235,197.672010044,1.48751506451
141,81686.9889942,191.245161916,1.44602504105
142,84126.5344807,196.340006033,1.4740343268
143,82502.1052466,192.213794934,1.45830216468
144,78935.6109439,187.923529938,1.42878213261
145,82286.5722046,190.918498319,1.45210465593
146,82248.492797,196.192726301,1.47869202752
147,82156.6000175,195.961115839,1.47823540524
148,79277.4579231,190.935301444,1.44502070596
149,78602.621661,189.722104317,1.43633885222
150,78695.0571478,187.963606847,1.42708057804
151,80287.3603693,190.31083646,1.43724286774
152,79310.1188618,190.069259384,1.43003834013
153,79364.3661734,188.468174843,1.42556349759
154,80080.4325566,188.139864623,1.42282235124
155,81909.6121428,194.058496266,1.45422683685
156,76312.738353,180.82519904,1.37012879523
157,77513.0159186,186.060955735,1.40801609336
158,81509.2498951,191.840490873,1.44394089457
159,82139.1109921,192.958396603,1.45206284196
160,79650.6432846,187.794367935,1.42397564686
161,78276.6515411,187.404893536,1.41759070642
162,82032.3070827,193.418140208,1.46307606357
163,78974.5433569,187.514798391,1.42161113675
164,82080.8996845,197.595512457,1.49223743252
165,79271.6656,190.925067895,1.43886886986
166,79266.6465107,192.977696471,1.45642375844
167,79006.3485175,188.570934965,1.42159232246
168,84732.4553558,199.877734719,1.50837975728
169,73891.3468804,182.054517763,1.3799496541
170,75339.7613906,183.958985522,1.39665909762
171,79093.4706689,187.454774777,1.42619771599
172,76063.2062287,186.326655569,1.40165409308
173,76356.3499214,186.811441149,1.41152984457
174,77063.0917674,186.398121536,1.41059988572
175,75602.6377746,184.586606414,1.392870652
176,75478.2257868,186.082168301,1.40768202143
177,78581.0396719,188.826599085,1.41748977685
178,74730.2841955,185.442883423,1.39995453875
179,74109.0970723,181.519729086,1.37856972156
180,75889.3861259,183.4761178,1.39063893754
181,76409.7966712,186.272120029,1.4026820573
182,75832.916904,183.436066122,1.39278343025
183,71884.3670356,179.549200859,1.36308523779
184,76500.9156576,186.728540569,1.40523262821
185,74587.303516,181.72719242,1.37607386541
186,74368.1045564,185.179654814,1.40192699616
187,73823.8703763,183.164696721,1.38286906818
188,73443.2143864,182.830430502,1.38293071094
189,77566.3615074,187.019537558,1.41496579862
190,74039.2112128,183.44248001,1.38520233277
191,75838.8930891,186.385057504,1.40941155146
192,72566.4208735,178.121742307,1.35673549849
193,74536.1435907,184.198396155,1.39126329586
194,73141.6643409,181.646206832,1.37288976434
195,74442.6614587,182.211318262,1.38084855462
196,72103.133984,179.606157734,1.36358959093
197,75161.1429731,183.504593514,1.38998977631
198,72289.1237165,178.588580756,1.35441001265
199,74321.1475251,181.563225684,1.3725462562
